PROV1NAME,SEATS83,SEATS87,SEATS91,SEATS95,SEATS99,SEATS02,SEATS07,SEATS11,VOTERSEATRATIO83,VOTERSEATRATIO87,VOTERSEATRATIO91,VOTERSEATRATIO95,VOTERSEATRATIO99,VOTERSEATRATIO02,VOTERSEATRATIO07,VOTERSEATRATIO11,BOXES83,REGISTER83,VOTE83,VALID83,ANAP83,HP83,MDP83,BGM83,ANAPP83,HPP83,MDPP83,BGMP83,TURNOUT83,EFFECTIVE83,COMPETITIVE83,DISPROP83,ANAPSEAT83,HPSEAT83,MDPSEAT83,BOXES87,REGISTER87,VOTE87,VALID87,ANAP87,SHP87,DYP87,DSP87,RP87,MCP87,IDP87,BGM87,ANAPP87,SHPP87,DYPP87,DSPP87,RPP87,MCPP87,IDPP87,BGMP87,TURNOUTP87,VOLATILITYP87,INCUMBENT87,EFFECTIVE87,COMPETITIVE87,DISPROP87,ANAPSEAT87,SHPSEAT87,DYPSEAT87,BOXES91,REGISTER91,VOTE91,VALID91,DYP91,ANAP91,SHP91,RP91,DSP91,SP91,BGM91,DYPP91,ANAPP91,SHPP91,RPP91,DSPP91,SPP91,BGMP91,TURNOUT91,VOLATILITY91,INCUMBENT91,EFFECTIVE91,COMPETITIVE91,DISPROP91,DYPSEAT91,ANAPSEAT91,SHPSEAT91,RPSEAT91,DSPSEAT91,BOXES95,REGISTER95,VOTE95,VALID95,RP95,DYP95,ANAP95,DSP95,CHP95,HADEP95,IP95,MHP95,MP95,YDH95,YDP95,YENI95,BGM95,RPP95,DYPP95,ANAPP95,DSPP95,CHPP95,HADEPP95,IPP95,MHPP95,MPP95,YDHP95,YDPP95,YENIP95,BGMP95,TURNOUT95,VOLATILITY95,INCUMBENT95,EFFECTIVE95,COMPETITIVE95,DISPROP95,RPSEAT95,DYPSEAT95,ANAPSEAT95,DSPSEAT95,CHPSEAT95,BOXES99,REGISTER99,VOTE99,VALID99,DSP99,MHP99,FP99,ANAP99,DYP99,BP99,BBP99,CHP99,DP99,DBP99,DTP99,DEPAR99,EMEP99,HADEP99,IP99,LDP99,MP99,ODP99,SIP99,YDP99,BGM99,DSPP99,MHPP99,FPP99,ANAPP99,DYPP99,BPP99,BBPP99,CHPP99,DPP99,DBPP99,DTPP99,DEPARP99,EMEPP99,HADEPP99,IPP99,LDPP99,MPP99,ODPP99,SIPP99,YDPP99,BGMP99,TURNOUT99,VOLATILITY99,INCUMBENT99,EFFECTIVE99,COMPETITIVE99,DISPROP99,DSPSEAT99,MHPSEAT99,FPSEAT99,ANAPSEAT99,DYPSEAT99,BGMSEAT99,BOXES02,REGISTER02,VOTE02,VALID02,AKP02,CHP02,ANAP02,BBP02,BTP02,DEHAP02,DSP02,DYP02,GP02,IP02,LDP02,MP02,MHP02,ODP02,SP02,TKP02,YP02,YTP02,BGM02,AKPP02,CHPP02,ANAPP02,BBPP02,BTPP02,DEHAPP02,DSPP02,DYPP02,GPP02,IPP02,LDPP02,MPP02,MHPP02,ODPP02,SPP02,TKPP02,YPP02,YTPP02,BGMP02,TURNOUT02,VOLATILITY02,INCUMBENT02,EFFECTIVE02,COMPETITIVE02,DISPROP02,AKPSEAT02,CHPSEAT02,BGMSEAT02,BOXES07,REGISTER07,VOTE07,VALID07,AKP07,CHP07,MHP07,DP07,GP07,SP07,BTP07,HYP07,IP07,ATP07,TKP07,ODP07,LDP07,EMEP07,BGM07,AKPP07,CHPP07,MHPP07,DPP07,GPP07,SPP07,BTPP07,HYPP07,IPP07,ATPP07,TKPP07,ODPP07,LDPP07,EMEPP07,BGMP07,DTPP07,NONDTPBGMP07,TURNOUT07,VOLATILITY07,INCUMBENT07,EFFECTIVE07,COMPETITIVE07,DISPROP07,AKPSEAT07,CHPSEAT07,MHPSEAT07,BDPSEAT07,BGMSEAT07,BOXES11,REGISTER11,VOTE11,VALID11,AKP11,DP11,CHP11,EP11,MP11,LDP11,SP11,HEPAR11,HAS11,MHP11,DYP11,TKP11,MMP11,BBP11,DSP11,BDP11,IPBGM11,NONBDPIPBGM11,BGM11,AKPP11,DPP11,CHPP11,EPP11,MPP11,LDPP11,SPP11,HEPARP11,HASP11,MHPP11,DYPP11,TKPP11,MMPP11,BBPP11,DSPP11,BDPP11,IPBGMP11,NONBDPBGMPP11,BGMP11,TURNOUT11P,VOLATILITY11,INCUMBENT11,EFFECTIVE11,COMPETITIVE11,DISPROP11,AKPSEAT11,CHPSEAT11,MHPSEAT11,BDPSEAT11
ADANA,12,14,14,17,14,14,14,14,51057,61212,72565,69453,75430,85291,84945,100122,1784,497253,450387,426860,164417,166240,91911,4247,38.52,38.94,21.53,0.99,85.84,2.89,0.43,26.83,5,5,2,2203,695057,644091,632390,213903,179803,111179,70787,33734,18853,4131,0,33.82,28.43,17.58,11.19,5.33,2.98,0.65,0.00,90.98,37.74,-4.69,4.12,5.39,14.36,7,4,3,2823,813500,656208,638708,189537,140331,141910,77235,86049,2626,390,29.68,21.97,22.22,12.09,13.47,0.41,0.06,78.51,21.65,-11.85,4.58,7.46,33.68,10,1,3,0,0,3530,957556,793681,766359,111746,132597,123205,160584,60066,60320,1856,104962,2889,2882,1904,1215,2133,14.58,17.30,16.08,20.95,7.84,7.87,0.24,13.70,0.38,0.38,0.25,0.16,0.28,80.03,24.59,-26.75,6.57,3.65,14.31,4,4,4,4,1,5892,1056015,884597,847489,219535,199723,87018,100141,79269,2286,6294,67502,2219,1056,3439,828,1465,62418,1632,1846,2112,7030,755,841,80,25.90,23.57,10.27,11.82,9.35,0.27,0.74,7.96,0.26,0.12,0.41,0.10,0.17,7.37,0.19,0.22,0.25,0.83,0.09,0.10,0.01,80.25,16.49,1.10,5.96,2.34,11.57,5,4,2,2,1,0,4628,1194078,887142,856469,229729,182436,31130,4866,2095,79397,11954,98440,75464,3962,1598,1487,97700,3765,14178,1759,6369,9025,1115,26.82,21.30,3.63,0.57,0.24,9.27,1.40,11.49,8.81,0.46,0.19,0.17,11.41,0.44,1.66,0.21,0.74,1.05,0.13,71.73,44.58,-44.85,6.17,5.52,30.25,8,6,0,4095,1189228,934190,916591,338122,209276,210006,48426,27991,14322,3118,4142,3625,0,1762,1579,0,0,54222,36.89,22.83,22.91,5.28,3.05,1.56,0.34,0.45,0.40,0.00,0.19,0.17,0.00,0.00,5.92,5.30,0.62,77.07,22.15,10.07,4.04,13.98,9.20,6,4,4,0,0,5159,1401712,1196001,1171911,438321,6436,361547,0,2178,332,11078,2183,5265,238140,2055,1322,856,6885,2144,90268,0,2901,93169,37.40,0.55,30.85,0.00,0.19,0.03,0.95,0.19,0.45,20.32,0.18,0.11,0.07,0.59,0.18,7.70,0.00,0.25,7.95,83.61,12.11,0.51,3.54,6.55,4.38,6,4,3,1
ADIYAMAN,4,4,4,5,6,5,5,5,31063,43543,55027,49056,45247,60034,59679,72947,609,124251,109880,104625,39370,32575,32680,0,37.63,31.14,31.24,0.00,84.20,2.98,6.39,22.34,2,1,1,734,174173,162526,157423,51771,38317,36362,7202,17965,3510,1904,392,32.89,24.34,23.10,4.57,11.41,2.23,1.21,0.25,90.38,42.77,-4.74,4.23,8.55,53.80,4,0,0,856,220107,175955,171538,42776,34876,46632,42770,3852,632,0,24.94,20.33,27.18,24.93,2.25,0.37,0.00,77.93,18.57,-12.56,4.16,2.25,59.01,0,0,4,0,0,1124,245279,204284,197242,64205,36641,29104,5687,21454,18672,492,13324,1694,1119,891,422,3537,32.55,18.58,14.76,2.88,10.88,9.47,0.25,6.76,0.86,0.57,0.45,0.21,1.79,80.42,18.23,-22.67,5.29,13.97,12.58,2,1,1,0,1,1616,271482,238649,226926,14356,24072,62496,23786,38489,1810,8182,27402,1932,296,1815,0,476,17055,363,673,1315,1145,299,377,587,6.33,10.61,27.54,10.48,16.96,0.80,3.61,12.08,0.85,0.13,0.80,0.00,0.21,7.52,0.16,0.30,0.58,0.50,0.13,0.17,0.26,83.59,10.50,-0.03,6.55,10.58,20.47,0,1,3,1,1,0,1359,300172,219431,214473,88831,28710,11494,3120,697,25666,3850,20935,4518,544,660,583,10238,334,11766,249,604,1632,42,41.42,13.39,5.36,1.45,0.32,11.97,1.80,9.76,2.11,0.25,0.31,0.27,4.77,0.16,5.49,0.12,0.28,0.76,0.02,71.45,27.45,-15.49,4.49,28.03,30.52,4,1,0,1217,298393,246678,244571,159735,34108,12807,8526,882,4938,1268,1132,452,0,811,0,239,0,19673,65.31,13.95,5.24,3.49,0.36,2.02,0.52,0.46,0.18,0.00,0.33,0.00,0.10,0.00,8.04,5.90,2.14,81.96,26.89,23.89,2.20,51.37,12.97,4,1,0,0,0,1554,364736,310145,306062,205968,913,50768,0,324,87,2110,0,7564,14102,234,369,254,2843,463,19811,0,252,20063,67.30,0.30,16.59,0.00,0.11,0.03,0.69,0.00,2.47,4.61,0.08,0.12,0.08,0.93,0.15,6.47,0.00,0.08,6.56,83.91,7.53,1.98,2.05,50.71,11.04,4,1,0,0
AFYON,5,6,6,7,7,7,7,5,52845,54352,60287,55725,57733,60479,62269,97000,1085,264227,251180,237635,145301,48563,36996,6775,61.14,20.44,15.57,2.85,89.94,2.27,40.71,24.10,4,1,0,1253,326113,314998,306664,114818,49414,77516,23768,20000,12012,9136,0,37.44,16.11,25.28,7.75,6.52,3.92,2.98,0.00,94.04,46.45,-23.70,4.12,12.16,25.55,4,0,2,1366,361724,317492,306818,110757,67635,45904,58542,22414,1566,0,36.10,22.04,14.96,19.08,7.31,0.51,0.00,84.82,23.89,-15.40,4.11,14.05,29.18,4,2,0,0,0,1644,390078,347996,337135,74918,94325,61084,30883,27823,2507,863,39249,2309,1167,1505,502,0,22.22,27.98,18.12,9.16,8.25,0.74,0.26,11.64,0.68,0.35,0.45,0.15,0.00,86.43,17.67,-14.83,5.28,5.76,15.93,2,3,1,1,0,2283,404132,377216,351420,44296,98403,40031,42758,54451,0,4263,25956,1432,0,3252,671,605,3930,986,1153,1291,1116,499,528,25799,12.60,28.00,11.39,12.17,15.49,0.00,1.21,7.39,0.41,0.00,0.93,0.19,0.17,1.12,0.28,0.33,0.37,0.32,0.14,0.15,7.34,86.96,28.95,-1.58,6.35,12.51,13.24,1,3,1,1,1,0,1984,423350,365440,350698,149518,43488,17888,3134,1517,3793,3105,48075,18947,1744,620,1197,49177,540,4544,409,1724,1150,128,42.63,12.40,5.10,0.89,0.43,1.08,0.89,13.71,5.40,0.50,0.18,0.34,14.02,0.15,1.30,0.12,0.49,0.33,0.04,82.84,43.61,-32.76,4.14,28.61,33.95,6,1,0,1795,435885,392733,384977,206825,47494,80860,26197,6171,6893,2057,2595,1401,0,631,597,876,1148,1232,53.72,12.34,21.00,6.80,1.60,1.79,0.53,0.67,0.36,0.00,0.16,0.16,0.23,0.30,0.32,0.00,0.32,88.32,19.05,11.09,2.83,32.72,14.42,5,1,1,0,0,2137,485000,436414,426101,257463,3104,70203,717,636,0,4825,803,2752,79425,1299,356,559,2927,823,0,0,209,209,60.42,0.73,16.48,0.17,0.15,0.00,1.13,0.19,0.65,18.64,0.30,0.08,0.13,0.69,0.19,0.00,0.00,0.05,0.05,87.86,12.06,6.70,2.34,41.78,2.95,3,1,1,0
AGRI,4,4,4,5,4,5,5,4,27319,36928,41946,34262,46783,42019,43724,69675,680,109275,96313,92483,30836,31158,30489,0,33.34,33.69,32.97,0.00,84.63,3.00,0.35,12.20,1,2,1,745,147713,131596,127668,46803,19486,21968,17995,17369,1410,2677,0,36.66,15.26,17.21,14.10,13.60,1.10,2.10,0.00,86.43,51.41,3.32,4.42,19.45,49.65,4,0,0,788,167784,128171,122822,34618,32650,18848,27301,3104,799,5502,28.19,26.58,15.35,22.23,2.53,0.65,4.48,73.20,24.83,-10.08,4.43,1.60,29.84,2,2,0,0,0,904,171308,134037,128599,39489,17503,23669,2132,4693,23037,285,7055,1030,1342,906,215,7243,30.71,13.61,18.41,1.66,3.65,17.91,0.22,5.49,0.80,1.04,0.70,0.17,5.63,75.07,23.18,-26.27,5.35,12.30,25.52,3,1,1,0,0,1204,187131,152876,143980,3965,11041,18416,13265,18244,0,2420,5943,926,534,1171,0,270,48559,260,291,498,0,256,435,17484,2.75,7.67,12.79,9.21,12.67,0.00,1.68,4.13,0.64,0.37,0.81,0.00,0.19,33.73,0.18,0.20,0.35,0.00,0.18,0.30,12.14,76.94,27.50,-7.28,5.61,20.94,32.90,0,1,1,1,1,0,1168,210094,153636,148151,26219,14230,7575,2277,592,51947,2124,11550,2177,298,227,436,7835,330,10690,153,1037,1132,7322,17.70,9.61,5.11,1.54,0.40,35.06,1.43,7.80,1.47,0.20,0.15,0.29,5.29,0.22,7.22,0.10,0.70,0.76,4.94,70.52,20.86,-7.80,5.45,17.37,45.51,3,2,0,1000,218620,165737,163672,103138,4210,6341,4949,369,1538,1310,799,219,0,799,0,129,0,39871,63.02,2.57,3.87,3.02,0.23,0.94,0.80,0.49,0.13,0.00,0.49,0.00,0.08,0.00,24.36,22.90,1.46,74.87,46.10,45.32,2.21,40.12,31.04,5,0,0,0,0,1305,278699,208367,202890,96616,891,4503,0,245,0,1053,0,1141,4505,273,689,283,3536,1062,82996,0,5097,88093,47.62,0.44,2.22,0.00,0.12,0.00,0.52,0.00,0.56,2.22,0.13,0.34,0.14,1.74,0.52,40.91,0.00,2.51,43.42,72.80,21.23,-15.40,2.52,6.71,22.62,3,0,0,1
AKSARAY,,,3,4,4,4,4,3,38191,50985,47227,43949,50562,53664,55186,82363,354,82688,75807,71535,34245,18607,18753,0,47.87,26.01,26.22,0.00,86.51,2.74,21.66,27.77,0,0,0,426,120122,113034,110555,43028,16878,23249,9923,10103,6362,1012,0,38.92,15.27,21.03,8.98,9.14,5.75,0.92,0.00,92.04,45.86,-8.95,4.19,17.89,24.85,0,0,0,580,141682,126313,122409,33990,27827,19128,32954,7933,505,72,27.77,22.73,15.63,26.92,6.48,0.41,0.06,86.40,25.35,-16.19,4.35,0.85,34.33,2,0,0,1,0,725,175797,148122,144094,42686,26679,26010,11764,10951,1851,299,21528,920,447,563,358,38,29.62,18.51,18.05,8.16,7.60,1.28,0.21,14.94,0.64,0.31,0.39,0.25,0.03,81.97,20.27,-17.28,5.27,11.11,20.68,2,1,1,0,0,1082,202248,176641,167966,16659,55357,28267,17699,24487,0,5137,13639,669,245,657,227,285,1807,451,421,861,573,224,301,0,9.92,32.96,16.83,10.54,14.58,0.00,3.06,8.12,0.40,0.15,0.39,0.14,0.17,1.08,0.27,0.25,0.51,0.34,0.13,0.18,0.00,83.05,21.54,-5.37,5.35,16.13,19.40,0,2,1,0,1,0,954,214655,160086,155505,74784,17527,9357,1751,1372,2582,1527,15195,6364,742,237,548,17784,266,2989,189,1367,860,64,48.09,11.27,6.02,1.13,0.88,1.66,0.98,9.77,4.09,0.48,0.15,0.35,11.44,0.17,1.92,0.12,0.88,0.55,0.04,72.44,41.97,-34.98,3.66,36.65,39.44,4,0,0,862,220742,180693,179020,113555,18613,28736,7600,989,2832,1224,953,442,1682,259,220,260,339,1316,63.43,10.40,16.05,4.25,0.55,1.58,0.68,0.53,0.25,0.94,0.14,0.12,0.15,0.19,0.74,0.00,0.74,81.10,20.67,15.34,2.27,47.38,13.14,3,0,1,0,0,1034,247089,203870,200404,132455,1072,23494,261,202,60,1823,234,1538,36030,391,138,221,2085,303,0,0,97,97,66.09,0.53,11.72,0.13,0.10,0.03,0.91,0.12,0.77,17.98,0.20,0.07,0.11,1.04,0.15,0.00,0.00,0.05,0.05,81.11,7.53,2.66,2.07,48.12,28.40,3,0,0,0
AMASYA,4,4,3,4,4,3,3,3,39057,47084,69516,54782,56579,82086,77883,78116,667,156227,146820,141146,70290,52441,18415,0,49.80,37.15,13.05,0.00,90.35,2.48,12.65,24.51,2,2,0,755,188337,179890,176215,58507,50045,37129,12252,9282,7356,1644,0,33.20,28.40,21.07,6.95,5.27,4.17,0.93,0.00,93.56,38.40,-16.60,4.09,4.80,25.37,2,2,0,795,208548,178075,173286,42446,39760,45247,34617,10526,690,0,24.49,22.94,26.11,19.98,6.07,0.40,0.00,83.09,18.53,-10.26,4.46,1.62,59.25,0,0,3,0,0,955,219128,191124,185414,43203,31459,31468,18858,32323,1823,314,22529,773,586,594,247,1237,23.30,16.97,16.97,10.17,17.43,0.98,0.17,12.15,0.42,0.32,0.32,0.13,0.67,84.61,20.97,-16.21,5.97,5.87,14.87,1,1,1,0,1,1304,226314,202723,194437,33597,47197,30425,20161,24804,1082,4817,23519,801,0,1048,319,693,1729,513,1255,518,1359,326,273,0,17.28,24.27,15.65,10.37,12.76,0.56,2.48,12.10,0.41,0.00,0.54,0.16,0.36,0.89,0.26,0.65,0.27,0.70,0.17,0.14,0.00,85.91,21.78,1.04,6.42,6.99,16.74,1,1,1,0,1,0,1101,246259,193411,189521,75080,43864,9501,2840,547,2476,3202,20383,5362,735,322,471,19100,511,3328,183,805,811,0,39.62,23.14,5.01,1.50,0.29,1.31,1.69,10.76,2.83,0.39,0.17,0.25,10.08,0.27,1.76,0.10,0.42,0.43,0.00,76.96,40.08,-35.14,4.23,16.47,23.42,2,1,0,957,233648,197903,196021,92331,50213,29910,10813,1832,4679,860,1025,588,1689,215,377,227,496,766,47.10,25.62,15.26,5.52,0.93,2.39,0.44,0.52,0.30,0.86,0.11,0.19,0.12,0.25,0.39,0.00,0.39,83.90,14.73,7.49,3.18,21.49,18.89,2,1,0,0,0,1070,234347,214811,211635,110459,1422,59066,433,116,62,2933,221,1740,31801,399,136,245,2330,272,0,0,0,0,52.19,0.67,27.91,0.20,0.05,0.03,1.39,0.10,0.82,15.03,0.19,0.06,0.12,1.10,0.13,0.00,0.00,0.00,0.00,90.31,8.66,5.09,2.68,24.28,15.31,2,1,0,0
ANKARA,22,26,23,28,28,29,29,31,58641,70437,84230,79102,83969,93064,100718,109992,4235,1184842,1087032,1023687,528744,245836,181110,7997,51.65,24.01,17.69,0.78,86.40,2.81,27.64,26.29,14,6,2,5545,1688285,1540023,1512125,600543,459232,213484,90216,61509,72530,13857,754,39.72,30.37,14.12,5.97,4.07,4.80,0.92,0.05,89.57,33.29,-11.94,3.60,9.35,20.60,16,10,0,6906,1937301,1625758,1587685,369249,375117,391322,280027,165426,5962,582,23.26,23.63,24.65,17.64,10.42,0.38,0.04,81.95,27.54,-16.09,4.70,1.02,12.65,7,7,7,2,0,8263,2214848,1921095,1848322,385966,242135,399513,261707,311701,46682,5025,170210,7353,7312,4267,2092,4359,20.88,13.10,21.61,14.16,16.86,2.53,0.27,9.21,0.40,0.40,0.23,0.11,0.24,83.45,17.19,-17.94,6.06,0.73,8.93,7,4,8,4,5,12238,2351122,2079326,1999131,462379,431050,341174,216118,146364,3886,31967,268741,3986,2148,6472,1749,3432,31306,3809,5183,4082,31005,1702,2304,271,23.13,21.56,17.07,10.81,7.32,0.19,1.60,13.44,0.20,0.11,0.32,0.09,0.17,1.57,0.19,0.26,0.20,1.55,0.09,0.12,0.01,85.03,23.59,-1.51,6.06,1.57,12.88,9,8,5,4,2,0,10045,2698870,2221851,2152251,820260,603385,63293,25322,13342,52709,20225,116611,146163,15629,9810,2468,184826,9625,24021,6197,13722,23700,943,38.11,28.04,2.94,1.18,0.62,2.45,0.94,5.42,6.79,0.73,0.46,0.11,8.59,0.45,1.12,0.29,0.64,1.10,0.04,79.75,45.84,-43.03,4.15,10.08,19.61,17,12,0,10086,2920818,2501141,2459587,1168742,687869,372868,69804,45935,29673,12069,8040,8726,14144,5229,4052,1715,0,30721,47.52,27.97,15.16,2.84,1.87,1.21,0.49,0.33,0.35,0.58,0.21,0.16,0.07,0.00,1.25,0.60,0.65,84.21,16.67,9.41,3.04,19.55,6.50,16,9,4,0,0,12335,3409758,3032519,2989046,1471871,13023,935688,0,4253,920,20275,6710,22310,437683,3127,4289,1772,33162,4911,18074,4346,7432,29852,49.24,0.44,31.30,0.00,0.14,0.03,0.68,0.22,0.75,14.64,0.10,0.14,0.06,1.11,0.16,0.60,0.15,0.25,1.00,87.66,6.45,1.72,2.76,17.94,4.37,17,10,4,0
ANTALYA,7,8,9,10,12,13,13,14,51219,63314,65282,74488,76482,78433,83768,99228,1393,358530,338290,322919,163982,74073,80149,4715,50.78,22.94,24.82,1.46,90.07,2.69,25.96,23.30,4,1,2,1840,506512,475987,465482,151273,115928,151180,19295,14518,9754,3391,143,32.50,24.90,32.48,4.15,3.12,2.10,0.73,0.03,91.90,44.53,-18.28,3.62,0.02,16.09,3,1,4,2011,587541,511899,499565,216096,100431,115693,44129,20839,2377,0,43.26,20.10,23.16,8.83,4.17,0.48,0.00,85.03,17.00,-12.39,3.44,20.10,19.04,6,1,2,0,0,2830,744876,641419,626990,83363,166368,91881,42702,145189,11701,1507,76545,2858,2352,1687,717,120,13.30,26.53,14.65,6.81,23.16,1.87,0.24,12.21,0.46,0.38,0.27,0.11,0.02,84.17,22.02,-16.72,5.46,3.38,11.43,1,3,2,1,3,4843,917784,783529,750060,151058,166914,46902,98676,144575,2217,4868,92570,3154,0,3912,731,986,18604,1580,3304,2197,5940,1043,732,97,20.14,22.25,6.25,13.16,19.28,0.30,0.65,12.34,0.42,0.00,0.52,0.10,0.13,2.48,0.21,0.44,0.29,0.79,0.14,0.10,0.01,81.73,25.89,12.35,6.08,2.11,10.98,3,3,1,2,3,0,3931,1019624,784645,754864,159733,233463,67970,4310,1325,20971,5781,110696,41523,3434,1719,2051,78264,2184,7686,1240,5426,6631,457,21.16,30.93,9.00,0.57,0.18,2.78,0.77,14.66,5.50,0.45,0.23,0.27,10.37,0.29,1.02,0.16,0.72,0.88,0.06,74.03,40.67,-35.41,5.41,9.77,29.00,5,8,0,3786,1088979,918746,900196,306269,261766,179734,88593,19593,11813,2840,5331,3591,0,1667,1590,1319,0,16090,34.02,29.08,19.97,9.84,2.18,1.31,0.32,0.59,0.40,0.00,0.19,0.18,0.15,0.00,1.79,1.50,0.29,82.66,23.14,12.86,3.99,4.94,10.58,5,5,3,0,0,5200,1389196,1200592,1178084,462963,9777,391400,0,2637,547,9533,4291,7081,245901,3394,1684,1510,6235,2949,23421,0,4761,28182,39.30,0.83,33.22,0.00,0.22,0.05,0.81,0.36,0.60,20.87,0.29,0.14,0.13,0.53,0.25,1.99,0.00,0.40,2.39,84.80,12.53,5.28,3.24,6.07,3.58,6,5,3,0
ARDAHAN,,,,2,2,2,2,2,40519,48923,66796,40853,37666,39272,34414,34580,275,63778,56023,54275,9100,22206,19682,2927,16.77,40.91,36.26,5.39,85.10,3.03,4.65,19.54,0,0,0,355,89293,77000,73744,21391,28459,6099,11471,2449,1064,1010,1801,29.01,38.59,8.27,15.56,3.32,1.44,1.37,2.44,82.59,41.87,12.24,3.76,9.58,29.81,0,0,0,374,98189,68787,66254,13890,8112,23368,4756,15445,683,0,20.96,12.24,35.27,7.18,23.31,1.03,0.00,67.48,25.34,-16.76,4.12,11.96,29.32,0,0,0,0,0,392,81705,59120,57917,7643,15549,5737,8826,10032,3761,248,4479,494,494,471,183,0,13.20,26.85,9.91,15.24,17.32,6.49,0.43,7.73,0.85,0.85,0.81,0.32,0.00,70.89,21.34,-12.07,6.14,9.53,33.26,0,1,0,0,1,456,75332,63189,60007,12095,4897,4788,9786,12913,653,625,6408,408,155,520,158,199,4706,154,414,206,546,154,222,0,20.16,8.16,7.98,16.31,21.52,1.09,1.04,10.68,0.68,0.26,0.87,0.26,0.33,7.84,0.26,0.69,0.34,0.91,0.26,0.37,0.00,79.66,17.45,12.19,6.91,1.36,33.76,1,0,0,0,1,0,396,78544,59153,57372,6746,12561,3799,669,353,9142,1118,10308,1203,1002,145,284,5053,200,1476,102,427,991,1793,11.76,21.89,6.62,1.17,0.62,15.93,1.95,17.97,2.10,1.75,0.25,0.50,8.81,0.35,2.57,0.18,0.74,1.73,3.13,73.04,33.58,-27.25,7.41,3.93,38.63,1,1,0,338,68828,56553,55949,22713,18066,3403,1785,607,478,616,888,436,745,791,130,104,0,5187,40.60,32.29,6.08,3.19,1.08,0.85,1.10,1.59,0.78,1.33,1.41,0.23,0.19,0.00,9.27,9.30,-0.03,81.29,38.87,28.84,3.53,8.31,16.51,1,1,0,0,0,386,69160,58249,56772,22831,439,17476,0,186,45,259,0,309,5651,128,197,101,1666,395,6971,0,118,7089,40.22,0.77,30.78,0.00,0.33,0.08,0.46,0.00,0.54,9.95,0.23,0.35,0.18,2.93,0.70,12.28,0.00,0.21,12.49,82.09,10.67,-0.38,3.54,9.43,19.05,1,1,0,0
ARTVIN,3,3,2,3,2,2,2,2,34447,41324,68086,43847,62220,66931,59682,61895,502,103341,93673,90848,36654,24017,27634,2543,40.35,26.44,30.42,2.80,87.91,3.07,9.93,21.99,3,0,0,528,123971,113573,111508,32249,34396,31517,6763,4171,1467,945,0,28.92,30.85,28.26,6.07,3.74,1.32,0.85,0.00,89.95,44.64,-11.43,3.79,1.93,7.23,1,1,1,560,136171,108239,105625,33124,29188,27809,9366,5375,763,0,31.36,27.63,26.33,8.87,5.09,0.72,0.00,77.57,8.94,-1.29,3.93,3.73,28.69,1,1,0,0,0,641,131541,106385,104658,15188,23687,29499,9755,16167,1539,265,6711,527,426,786,108,0,14.51,22.63,28.19,9.32,15.45,1.47,0.25,6.41,0.50,0.41,0.75,0.10,0.00,79.56,18.61,-19.61,5.30,5.55,20.03,0,1,1,0,1,757,124440,107710,103722,20075,17322,9067,17278,20516,371,791,11466,417,201,751,194,194,1333,209,949,316,1886,174,212,0,19.35,16.70,8.74,16.66,19.78,0.36,0.76,11.05,0.40,0.19,0.72,0.19,0.19,1.29,0.20,0.91,0.30,1.82,0.17,0.20,0.00,83.35,23.92,-0.77,6.54,0.43,36.16,1,0,0,0,1,0,721,133862,105409,103311,23979,26243,9647,818,895,953,1318,21493,1599,493,253,414,10582,1512,1363,233,717,799,0,23.21,25.40,9.34,0.79,0.87,0.92,1.28,20.80,1.55,0.48,0.24,0.40,10.24,1.46,1.32,0.23,0.69,0.77,0.00,77.18,33.31,-31.86,5.49,2.19,31.30,1,1,0,606,119364,100587,99571,37613,28313,10924,13875,1490,1886,1222,833,468,1082,249,1037,265,261,53,37.78,28.43,10.97,13.93,1.50,1.89,1.23,0.84,0.47,1.09,0.25,1.04,0.27,0.26,0.05,0.00,0.05,83.42,18.15,14.56,3.91,9.34,21.68,1,1,0,0,0,683,123790,107007,105114,48769,1608,37180,327,108,88,1238,0,496,13970,386,173,118,251,232,0,0,170,170,46.40,1.53,35.37,0.31,0.10,0.08,1.18,0.00,0.47,13.29,0.37,0.16,0.11,0.24,0.22,0.00,0.00,0.16,0.16,84.91,18.71,8.62,2.79,11.03,14.28,1,1,0,0
