province,AKP,CHP,MHP,HDP,others
Adana,30.4,28.6,23.1,14.6,1.5
Adıyaman,58.0,11.5,4.3,22.6,2.0
Afyonkarahisar,52.3,16.7,25.1,1.5,2.2
Ağrı,16.6,1.4,2.7,76.9,0.8
Aksaray,58.2,6.9,29.8,2.1,1.3
Amasya,45.9,26.0,22.6,1.6,2.2
Ankara,41.4,29.2,17.8,5.6,2.6
Ankara 1. Bölge,36.6,33.2,18.1,6.5,2.3
Ankara 2. Bölge,47.5,24.0,17.5,4.4,3.0
Antalya,35.3,32.5,21.7,7.2,1.3
Ardahan,26.8,22.1,7.8,30.2,8.1
Artvin,39.1,30.7,22.6,3.1,1.7
Aydın,29.7,40.1,18.0,9.1,1.1
Balıkesir,39.1,33.7,20.0,3.5,1.8
Bartın,41.6,30.2,18.0,1.7,4.7
Batman,18.9,1.2,1.3,71.2,5.5
Bayburt,60.0,2.8,31.5,1.5,2.9
Bilecik,37.6,29.2,25.4,3.7,2.2
Bingöl,47.0,1.6,2.9,40.5,4.6
Bitlis,31.4,1.7,4.0,59.5,1.1
Bolu,52.0,24.4,15.9,2.1,3.5
Burdur,43.1,27.1,22.9,1.9,2.6
Bursa,44.0,27.7,17.5,5.8,3.2
Çanakkale,34.6,39.0,19.8,3.1,1.0
Çankırı,59.2,6.9,28.2,1.3,2.4
Çorum,54.3,22.3,17.6,2.3,2.0
Denizli,39.8,34.8,18.1,4.2,1.4
Diyarbakır,14.8,1.3,1.2,77.8,3.4
Düzce,59.2,16.1,15.6,2.4,4.0
Edirne,24.8,53.0,15.6,3.0,1.5
Elazığ,52.9,6.9,20.6,15.4,2.9
Erzincan,49.2,25.3,16.5,5.8,1.9
Erzurum,52.0,3.1,23.2,17.8,2.4
Eskişehir,36.2,38.8,16.7,4.0,2.3
Gaziantep,47.0,16.4,17.8,15.3,2.1
Giresun,53.5,21.9,18.3,1.4,2.4
Gümüşhane,56.7,5.4,31.0,1.9,2.9
Hakkari,9.5,1.4,2.6,85.2,0.4
Hatay,38.1,35.9,13.9,6.9,2.3
Iğdır,11.7,3.9,26.7,55.9,0.5
Isparta,44.2,22.1,26.7,2.2,2.7
İstanbul,41.1,29.1,11.0,12.6,2.6
İstanbul 1. Bölge,40.8,31.7,10.5,10.8,2.6
İstanbul 2. Bölge,42.9,27.4,11.2,12.5,2.4
İstanbul 3. Bölge,39.9,27.9,11.4,14.6,2.9
İzmir,26.7,44.8,13.6,10.5,1.1
İzmir 1. Bölge,26.5,43.9,12.7,11.7,2.1
İzmir 2. Bölge,26.9,45.6,14.4,9.5,1.2
Kahramanmaraş,60.8,8.7,19.7,5.5,3.6
Karabük,48.0,17.2,27.2,1.5,3.3
Karaman,55.4,15.5,22.5,1.6,2.8
Kars,27.2,12.1,13.9,43.5,0.9
Kastamonu,48.7,18.6,26.8,1.1,1.6
Kayseri,52.4,12.5,27.4,2.7,3.1
Kırıkkale,50.6,15.4,28.4,1.7,2.3
Kırklareli,23.7,49.4,21.1,2.7,0.9
Kırşehir,39.8,19.3,31.6,6.4,1.3
Kilis,49.2,7.9,35.0,4.1,1.4
Kocaeli,46.4,24.2,15.2,7.7,4.9
Konya,65.1,9.9,16.3,4.5,3.0
Kütahya,54.5,12.0,26.6,1.3,3.6
Malatya,58.4,16.6,11.4,8.2,2.5
Manisa,37.1,28.9,23.4,7.0,1.5
Mardin,19.8,1.4,1.3,72.1,4.1
Mersin,26.4,28.7,24.5,17.9,1.0
Muğla,26.9,45.1,18.7,5.4,0.9
Muş,24.9,1.4,2.0,70.2,0.8
Nevşehir,52.4,15.0,27.3,1.8,1.8
Niğde,47.9,21.3,25.2,1.6,2.4
Ordu,52.9,28.2,12.8,1.3,2.3
Osmaniye,39.1,13.4,40.4,4.2,1.4
Rize,66.4,18.8,8.1,1.6,3.4
Sakarya,56.5,15.9,19.2,3.0,3.9
Samsun,52.9,23.0,17.7,1.6,2.9
Siirt,28.6,1.6,2.5,64.8,1.0
Sinop,47.5,28.4,16.8,1.7,1.8
Sivas,57.3,15.1,18.0,1.8,6.2
Şanlıurfa,46.8,4.4,5.6,38.1,3.1
Şırnak,9.7,1.3,2.5,83.9,1.2
Tekirdağ,31.6,43.9,15.0,5.9,1.4
Tokat,51.6,20.8,21.7,1.7,2.9
Trabzon,55.3,17.0,20.7,1.3,3.6
Tunceli,11.5,20.5,6.0,60.1,0.7
Uşak,38.3,28.1,27.4,2.8,1.8
Van,20.1,1.3,2.8,73.5,0.7
Yalova,39.7,28.8,19.2,8.6,1.9
Yozgat,58.1,9.2,27.5,1.4,2.5
Zonguldak,38.2,38.5,16.3,1.6,3.2
