il,ilce,AKP,CHP,MHP,HDP,OTHERS,AKPV,CHPV,MHPV,HDPV,OTHERSV,kod
Adana,Aladağ,0.5009,0.115,0.3347,0.0051,0.04510000000000002,5337.0,1225.0,3566.0,54.0,478.0,1
Adana,Ceyhan,0.2584,0.2584,0.2722,0.1827,0.030100000000000005,23591.0,23596.0,24854.0,16682.0,2730.0,1
Adana,Çukurova,0.2315,0.408,0.2579,0.0729,0.03160000000000001,50710.0,89376.0,56490.0,15962.0,6927.0,1
Adana,Feke,0.4701,0.1532,0.3149,0.0067,0.05560000000000001,4720.0,1538.0,3162.0,67.0,557.0,1
Adana,İmamoğlu,0.4592,0.2217,0.2552,0.0237,0.04170000000000002,7547.0,3643.0,4195.0,389.0,685.0,1
Adana,Karaisalı,0.5529999999999999,0.0936,0.3095,0.0062,0.03830000000000002,7772.0,1315.0,4350.0,87.0,537.0,1
Adana,Karataş,0.2322,0.4166,0.2637,0.0669,0.0209,3105.0,5570.0,3526.0,894.0,281.0,1
Adana,Kozan,0.429,0.2071,0.3072,0.0129,0.04430000000000001,31011.0,14969.0,22209.0,932.0,3204.0,1
Adana,Pozantı,0.4538,0.2122,0.2708,0.0181,0.0462,5648.0,2641.0,3370.0,225.0,573.0,1
Adana,Saimbeyli,0.4836,0.1186,0.3482,0.0055000000000000005,0.04450000000000001,4205.0,1031.0,3028.0,48.0,387.0,1
Adana,Sarıçam,0.3664,0.1635,0.3878,0.0498,0.034600000000000006,28704.0,12805.0,30374.0,3902.0,2707.0,1
Adana,Seyhan,0.2588,0.31420000000000003,0.1806,0.2143,0.03660000000000002,114179.0,138615.0,79680.0,94517.0,16081.0,1
Adana,Tufanbeyli,0.3536,0.1899,0.3895,0.0101,0.05960000000000003,3675.0,1973.0,4048.0,105.0,617.0,1
Adana,Yumurtalık,0.3296,0.25980000000000003,0.3566,0.025,0.0302,3676.0,2898.0,3978.0,279.0,335.0,1
Adana,Yüreğir,0.3378,0.2415,0.1858,0.1963,0.048500000000000015,74347.0,53161.0,40899.0,43216.0,10731.0,1
Adıyaman,Adıyaman,0.5818,0.1136,0.0422,0.2269,0.0356,178282.0,34812.0,12945.0,69513.0,10862.0,2
Adıyaman,Besni,0.5242,0.2403,0.0467,0.1517,0.036999999999999984,20088.0,9208.0,1790.0,5812.0,1420.0,2
Adıyaman,Çelikhan,0.5756,0.0916,0.02,0.27140000000000003,0.0413,5151.0,820.0,179.0,2429.0,370.0,2
Adıyaman,Gerger,0.7091,0.05,0.0138,0.1744,0.0524,5717.0,403.0,111.0,1406.0,425.0,2
Adıyaman,Gölbaşı,0.485,0.2782,0.1095,0.0914,0.035800000000000005,12696.0,7282.0,2867.0,2394.0,940.0,2
Adıyaman,Kahta,0.6859000000000001,0.0171,0.0094,0.2576,0.0299,37230.0,929.0,512.0,13982.0,1624.0,2
Adıyaman,Samsat,0.7121,0.0271,0.027999999999999997,0.1632,0.06940000000000006,2946.0,112.0,116.0,675.0,288.0,2
Adıyaman,Sincik,0.9071,0.01,0.0107,0.0512,0.021,9084.0,100.0,107.0,513.0,210.0,2
Adıyaman,Tut,0.5624,0.2451,0.0806,0.06570000000000001,0.046199999999999984,3183.0,1387.0,456.0,372.0,262.0,2
Afyonkarahisar,Afyonkarahisar,0.5236,0.1674,0.2545,0.0105,0.044,222467.0,71131.0,108115.0,4446.0,18725.0,3
Afyonkarahisar,Başmakçı,0.4126,0.31420000000000003,0.2256,0.006500000000000001,0.0412,2855.0,2174.0,1561.0,45.0,285.0,3
Afyonkarahisar,Bayat,0.5146000000000001,0.1863,0.2211,0.0205,0.0577,2439.0,883.0,1048.0,97.0,273.0,3
Afyonkarahisar,Bolvadin,0.6256,0.1056,0.2244,0.0098,0.034600000000000006,16468.0,2779.0,5906.0,257.0,913.0,3
Afyonkarahisar,Çay,0.4545,0.2273,0.2683,0.0094,0.0406,9049.0,4526.0,5342.0,187.0,806.0,3
Afyonkarahisar,Çobanlar,0.5305,0.1438,0.2911,0.0053,0.029400000000000006,4090.0,1109.0,2244.0,41.0,226.0,3
Afyonkarahisar,Dazkırı,0.4337,0.2775,0.2506,0.0053,0.0328,3245.0,2076.0,1875.0,40.0,246.0,3
Afyonkarahisar,Dinar,0.4417,0.2161,0.2911,0.0099,0.04120000000000002,12739.0,6232.0,8395.0,285.0,1187.0,3
Afyonkarahisar,Emirdağ,0.48700000000000004,0.2477,0.20600000000000002,0.0118,0.047400000000000005,10565.0,5374.0,4469.0,256.0,1031.0,3
Afyonkarahisar,Evciler,0.4162,0.3093,0.2434,0.0033,0.0277,2040.0,1516.0,1193.0,16.0,136.0,3
Afyonkarahisar,Hocalar,0.5593,0.1077,0.2662,0.0069,0.06000000000000001,3427.0,660.0,1631.0,42.0,367.0,3
Afyonkarahisar,İhsaniye,0.565,0.1169,0.2791,0.0046,0.0343,9897.0,2048.0,4888.0,80.0,603.0,3
Afyonkarahisar,İscehisar,0.6467,0.07150000000000001,0.1922,0.0048,0.0847,9211.0,1018.0,2738.0,69.0,1206.0,3
Afyonkarahisar,Kızılören,0.4389,0.1349,0.3731,0.0069,0.046199999999999984,768.0,236.0,653.0,12.0,81.0,3
Afyonkarahisar,Sandıklı,0.535,0.1552,0.2494,0.0085,0.0518,18182.0,5276.0,8476.0,290.0,1763.0,3
Afyonkarahisar,Sinanpaşa,0.5695,0.1333,0.2434,0.0051,0.0488,14533.0,3403.0,6212.0,129.0,1243.0,3
Afyonkarahisar,Sultandağı,0.2497,0.4686,0.2259,0.0171,0.0388,2718.0,5100.0,2458.0,186.0,421.0,3
Afyonkarahisar,Şuhut,0.5593,0.1843,0.2035,0.006,0.046700000000000005,13344.0,4397.0,4855.0,143.0,1118.0,3
Ağrı,Ağrı,0.1583,0.0102,0.0257,0.7822,0.0319,37545.0,2417.0,6086.0,185506.0,7612.0,4
Ağrı,Diyadin,0.0637,0.0083,0.0102,0.8887999999999999,0.04320000000000001,1194.0,155.0,192.0,16671.0,809.0,4
Ağrı,Doğubayazıt,0.0682,0.008199999999999999,0.016200000000000003,0.8953,0.0127,3658.0,438.0,871.0,48040.0,692.0,4
Ağrı,Eleşkirt,0.2914,0.0143,0.0259,0.6248,0.061800000000000015,4574.0,224.0,406.0,9808.0,971.0,4
Ağrı,Hamur,0.1535,0.0055000000000000005,0.006999999999999999,0.7929999999999999,0.06220000000000001,1292.0,46.0,59.0,6675.0,524.0,4
Ağrı,Patnos,0.0762,0.0086,0.013500000000000002,0.8903,0.013500000000000005,3987.0,449.0,707.0,46583.0,707.0,4
Ağrı,Taşlıçay,0.128,0.0104,0.042,0.7968999999999999,0.0301,1209.0,98.0,397.0,7528.0,284.0,4
Ağrı,Tutak,0.1356,0.011000000000000001,0.07719999999999999,0.759,0.0238,1913.0,155.0,1090.0,10710.0,335.0,4
Aksaray,Ağaçören,0.6403,0.0566,0.2584,0.0033,0.0415,3291.0,291.0,1328.0,17.0,213.0,68
Aksaray,Aksaray,0.5839,0.0667,0.3031,0.0173,0.0291,119659.0,13669.0,62110.0,3540.0,5964.0,68
Aksaray,Eskil,0.6289,0.0624,0.2707,0.0051,0.032900000000000006,8735.0,866.0,3760.0,71.0,457.0,68
Aksaray,Gülağaç,0.5540999999999999,0.1681,0.22399999999999998,0.019,0.034800000000000005,5541.0,1681.0,2240.0,190.0,348.0,68
