,AKP,CHP,MHP,HDP,OTHERS
AKPP11,0.785869134,0.02833768,0.065741055,0.096523397,0.023181992
CHPP11,0.041721401,0.873210337,0.020643465,0.031911239,0.031757133
MHPP11,0.007994529,0.024124091,0.947943106,0.016503103,0.002032166
HDPP11,0.006258725,0.003691934,0.006174212,0.97802642,0.002196741
OTHERS11,0.162620322,0.132592237,0.049574931,0.054434209,0.59663552
,,,,,
2011 Shares,AKP,CHP,MHP,HDP,OTHERS
49.83,39.15985897,1.412066619,3.275876791,4.809760875,1.155158666
25.98,1.083922007,22.68600456,0.536317211,0.829053977,0.825050311
13.01,0.104008823,0.31385443,12.33273981,0.214705373,0.026438476
6.5,0.040681715,0.023997572,0.040132379,6.357171727,0.014278819
4.68,0.761063107,0.620531668,0.232010676,0.254752098,2.792254236
