"il.href","il","bolge","kod","tel","nufus","alan","index","url"
"javascript:void(0)","Adana (6)","Akdeniz","01","322","1.849.478","17.253 (9.)","2","http://www.tapu.nl/turkce/turkiye.html"
"","Adiyaman","Güneydoğu","02","416","513.131","7.614","3","http://www.tapu.nl/turkce/turkiye.html"
"","Afyonkarahisar","İç Anadolu","03","272","812.416","14.230","4","http://www.tapu.nl/turkce/turkiye.html"
"","Agri","Doğu Anadolu","04","472","528.744","11.376","5","http://www.tapu.nl/turkce/turkiye.html"
"","Aksaray","İç Anadolu","68","382","400.145","17.250 (10.)","6","http://www.tapu.nl/turkce/turkiye.html"
"","Amasya","Karadeniz","05","358","365.231","5.520","7","http://www.tapu.nl/turkce/turkiye.html"
"javascript:void(0)","Ankara (2)","İç Anadolu","06","312","4.007.860","30.715 (2.)","8","http://www.tapu.nl/turkce/turkiye.html"
"javascript:void(0)","Antalya (7)","Akdeniz","07","242","1.726.205","20.815 (5.)","9","http://www.tapu.nl/turkce/turkiye.html"
"","Ardahan","Karadeniz","75","478","133.756","5.576","10","http://www.tapu.nl/turkce/turkiye.html"
"","Artvin","Karadeniz","08","466","191.934","7.436","11","http://www.tapu.nl/turkce/turkiye.html"
"","Aydin","Ege","09","256","953.006","8.007","12","http://www.tapu.nl/turkce/turkiye.html"
"javascript:void(0)","Balikesir","Marmara","10","266","1.076.347","14.292","13","http://www.tapu.nl/turkce/turkiye.html"
"","Bartin","Karadeniz","74","378","184.178","2.140","14","http://www.tapu.nl/turkce/turkiye.html"
"","Bayburt","Karadeniz","69","458","97.358","3.652","15","http://www.tapu.nl/turkce/turkiye.html"
"","Batman","Güneydoğu","72","488","446.719","4.654","16","http://www.tapu.nl/turkce/turkiye.html"
"","Bilecik","Marmara","11","228","194.326","4.307","17","http://www.tapu.nl/turkce/turkiye.html"
"","Bingöl","Güneydoğu","12","426","255.395","8.125","18","http://www.tapu.nl/turkce/turkiye.html"
"","Bitlis","Güneydoğu","13","434","388.678","6.707","19","http://www.tapu.nl/turkce/turkiye.html"
"","Bolu","Karadeniz","14","374","270.654","11.051","20","http://www.tapu.nl/turkce/turkiye.html"
"","Burdur","Akdeniz","15","248","256.803","6.887","21","http://www.tapu.nl/turkce/turkiye.html"
"javascript:void(0)","Bursa (5)","Marmara","16","224","2.106.687","11.043","22","http://www.tapu.nl/turkce/turkiye.html"
"javascript:void(0)","Çanakkale","Ege","17","286","464.975","9.737","23","http://www.tapu.nl/turkce/turkiye.html"
"","Çankiri","İç Anadolu","18","376","269.579","8.454","24","http://www.tapu.nl/turkce/turkiye.html"
"","Çorum","İç Anadolu","19","364","597.065","12.820","25","http://www.tapu.nl/turkce/turkiye.html"
"javascript:void(0)","Denizli","Ege","20","258","843.122","11.868","26","http://www.tapu.nl/turkce/turkiye.html"
"javascript:void(0)","Diyarbakir (10)","Güneydoğu","21","412","1.364.209","15.355","27","http://www.tapu.nl/turkce/turkiye.html"
"","Düzce","Karadeniz","81","380","314.266","1.065","28","http://www.tapu.nl/turkce/turkiye.html"
"javascript:void(0)","Edirne","Marmara","22","284","402.606","6.276","29","http://www.tapu.nl/turkce/turkiye.html"
"","Elazig","Doğu Anadolu","23","424","572.933","3.153","30","http://www.tapu.nl/turkce/turkiye.html"
"","Erzincan","Doğu Anadolu","24","446","315.806","11.903","31","http://www.tapu.nl/turkce/turkiye.html"
"","Erzurum","Doğu Anadolu","25","442","942.340","25.066 (4.)","32","http://www.tapu.nl/turkce/turkiye.html"
"","Eskisehir","İç Anadolu","26","222","706.009","13.652","33","http://www.tapu.nl/turkce/turkiye.html"
